% Service logfile
% 1 	Time (sec)
% 2 	Message
1739279824.1484 Setup finished OK=1
1739552437.4642 Mixer order: robobot/cmd/ti/rc 0.250 -0.450 1739552437.4638133
1739552437.4746 Mixer order: robobot/cmd/ti/rc 0.250 -0.387 1739552437.4742262
1739552437.4841 Mixer order: robobot/cmd/ti/rc 0.250 -0.247 1739552437.4837372
1739552437.4935 Mixer order: robobot/cmd/ti/rc 0.250 -0.164 1739552437.4931967
1739552437.5043 Mixer order: robobot/cmd/ti/rc 0.250 -0.065 1739552437.5036838
1739552437.5143 Mixer order: robobot/cmd/ti/rc 0.250 0.015 1739552437.5138505
1739552437.5251 Mixer order: robobot/cmd/ti/rc 0.250 0.098 1739552437.5246563
1739552437.5341 Mixer order: robobot/cmd/ti/rc 0.250 0.162 1739552437.5335915
1739552437.5438 Mixer order: robobot/cmd/ti/rc 0.250 0.224 1739552437.5434432
1739552437.5546 Mixer order: robobot/cmd/ti/rc 0.250 0.287 1739552437.5542612
1739552437.5662 Mixer order: robobot/cmd/ti/rc 0.250 0.326 1739552437.5653982
1739552437.5759 Mixer order: robobot/cmd/ti/rc 0.250 0.356 1739552437.574823
1739552437.5838 Mixer order: robobot/cmd/ti/rc 0.250 0.381 1739552437.5833793
1739552437.5943 Mixer order: robobot/cmd/ti/rc 0.250 0.392 1739552437.5939543
1739552437.6038 Mixer order: robobot/cmd/ti/rc 0.250 0.414 1739552437.6034544
1739552437.6147 Mixer order: robobot/cmd/ti/rc 0.250 0.421 1739552437.6143353
1739552437.6238 Mixer order: robobot/cmd/ti/rc 0.250 0.461 1739552437.6235447
1739552437.6352 Mixer order: robobot/cmd/ti/rc 0.250 0.486 1739552437.6346514
1739552437.6438 Mixer order: robobot/cmd/ti/rc 0.250 0.496 1739552437.6434028
1739552437.6542 Mixer order: robobot/cmd/ti/rc 0.250 0.518 1739552437.6538682
1739552437.6639 Mixer order: robobot/cmd/ti/rc 0.250 0.495 1739552437.6635273
1739552437.6745 Mixer order: robobot/cmd/ti/rc 0.250 0.488 1739552437.674177
1739552437.6835 Mixer order: robobot/cmd/ti/rc 0.250 0.475 1739552437.6832836
1739552437.6952 Mixer order: robobot/cmd/ti/rc 0.250 0.457 1739552437.6947005
1739552437.7049 Mixer order: robobot/cmd/ti/rc 0.250 0.456 1739552437.7043693
